Temperature [K];CMF;x;y;P;R;G;B;r;g;b;#rgb
12300;2;0.2724;0.2771;2.118e+16;0.5340;0.6316;1.0000;193;208;255;#c1d0ff
12300;10;0.2701;0.2790;2.356e+16;0.5095;0.6453;1.0000;189;210;255;#bdd2ff
12400;2;0.2721;0.2767;2.160e+16;0.5312;0.6293;1.0000;193;208;255;#c1d0ff
12400;10;0.2697;0.2786;2.403e+16;0.5066;0.6432;1.0000;189;210;255;#bdd2ff
12500;2;0.2717;0.2763;2.202e+16;0.5283;0.6270;1.0000;192;207;255;#c0cfff
12500;10;0.2694;0.2783;2.451e+16;0.5037;0.6411;1.0000;188;210;255;#bcd2ff
12600;2;0.2714;0.2758;2.244e+16;0.5256;0.6247;1.0000;192;207;255;#c0cfff
12600;10;0.2691;0.2779;2.498e+16;0.5009;0.6391;1.0000;188;209;255;#bcd1ff
12700;2;0.2711;0.2754;2.287e+16;0.5229;0.6225;1.0000;191;207;255;#bfcfff
12700;10;0.2688;0.2775;2.546e+16;0.4982;0.6371;1.0000;187;209;255;#bbd1ff
12800;2;0.2708;0.2750;2.330e+16;0.5203;0.6204;1.0000;191;206;255;#bfceff
12800;10;0.2684;0.2771;2.594e+16;0.4955;0.6351;1.0000;187;209;255;#bbd1ff
12900;2;0.2705;0.2746;2.373e+16;0.5177;0.6183;1.0000;190;206;255;#beceff
12900;10;0.2681;0.2768;2.643e+16;0.4929;0.6332;1.0000;186;208;255;#bad0ff
13000;2;0.2702;0.2742;2.416e+16;0.5152;0.6162;1.0000;190;206;255;#beceff
13000;10;0.2678;0.2764;2.691e+16;0.4904;0.6314;1.0000;186;208;255;#bad0ff
13100;2;0.2699;0.2738;2.459e+16;0.5128;0.6142;1.0000;190;206;255;#beceff
13100;10;0.2675;0.2761;2.740e+16;0.4879;0.6295;1.0000;185;208;255;#b9d0ff
13200;2;0.2696;0.2735;2.503e+16;0.5104;0.6122;1.0000;189;205;255;#bdcdff
13200;10;0.2673;0.2757;2.789e+16;0.4854;0.6277;1.0000;185;208;255;#b9d0ff
13300;2;0.2694;0.2731;2.547e+16;0.5080;0.6103;1.0000;189;205;255;#bdcdff
13300;10;0.2670;0.2754;2.838e+16;0.4831;0.6260;1.0000;185;207;255;#b9cfff
13400;2;0.2691;0.2727;2.591e+16;0.5057;0.6084;1.0000;188;205;255;#bccdff
13400;10;0.2667;0.2751;2.888e+16;0.4807;0.6243;1.0000;184;207;255;#b8cfff
13500;2;0.2688;0.2724;2.635e+16;0.5035;0.6065;1.0000;188;204;255;#bcccff
13500;10;0.2664;0.2747;2.938e+16;0.4785;0.6226;1.0000;184;207;255;#b8cfff
13600;2;0.2686;0.2720;2.680e+16;0.5013;0.6047;1.0000;188;204;255;#bcccff
13600;10;0.2662;0.2744;2.988e+16;0.4762;0.6209;1.0000;183;207;255;#b7cfff
13700;2;0.2683;0.2717;2.724e+16;0.4991;0.6029;1.0000;187;204;255;#bbccff
13700;10;0.2659;0.2741;3.038e+16;0.4740;0.6193;1.0000;183;206;255;#b7ceff
13800;2;0.2680;0.2713;2.769e+16;0.4970;0.6012;1.0000;187;204;255;#bbccff
13800;10;0.2656;0.2738;3.089e+16;0.4719;0.6177;1.0000;183;206;255;#b7ceff
13900;2;0.2678;0.2710;2.814e+16;0.4950;0.5994;1.0000;187;203;255;#bbcbff
13900;10;0.2654;0.2735;3.139e+16;0.4698;0.6161;1.0000;182;206;255;#b6ceff
14000;2;0.2675;0.2707;2.860e+16;0.4930;0.5978;1.0000;186;203;255;#bacbff
14000;10;0.2651;0.2732;3.190e+16;0.4677;0.6146;1.0000;182;206;255;#b6ceff
14100;2;0.2673;0.2703;2.905e+16;0.4910;0.5961;1.0000;186;203;255;#bacbff
